model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,4,20,512,0.428729
Qwen/Qwen3-8B,cnndm,4,20,2048,0.126775
Qwen/Qwen3-8B,cnndm,4,21,128,0.546615
Qwen/Qwen3-8B,cnndm,4,21,512,0.310173
Qwen/Qwen3-8B,cnndm,4,21,2048,0.117823
Qwen/Qwen3-8B,cnndm,4,22,128,0.477022
Qwen/Qwen3-8B,cnndm,4,22,512,0.212745
Qwen/Qwen3-8B,cnndm,4,22,2048,0.052964
Qwen/Qwen3-8B,cnndm,4,23,128,0.659814
Qwen/Qwen3-8B,cnndm,4,23,512,0.425703
Qwen/Qwen3-8B,cnndm,4,23,2048,0.134408
Qwen/Qwen3-8B,cnndm,4,24,128,0.251117
